DocNo,sentence,tag
D3,of,O
D2,immediately,O
D3,based,O
D3,and,O
,,
,,
D3,and,O
D5,same,O
D3,has,O
D3,designed,O
D2,of,O
D3,generally,O
D4,command-line,B-TOOL
D3,Nmap,B-TOOL
D2,zombie,B-SYSTEM
D3,scanning,B-TECHNIQUE
D2,to,O
D3,successfully,O
D3,Nmap,B-TOOL
D4,Metasploitable,B-SYSTEM
D5,log,B-DATA
D3,focusing,O
D4,by,O
,,
D3,firewall,B-TOOL
D5,priority,B-FEATURE
D3,You,O
D3,what,O
D2,the,O
D3,self-targeted,B-TECHNIQUE
D2,of,O
D2,The,O
D3,lookup,I-FUNCTION
D2,The,O
D2,to,O
D4,port,B-TECHNIQUE
D5,the,O
D3,successfully,O
D4,the,O
D5,On,O
D5,used,O
D4,exploits,B-TECHNIQUE
D2,Probe,B-TECHNIQUE
D2,which,O
D3,to,O
D3,be,O
D3,also,O
D3,that,O
,,
D2,an,O
D3,files,B-DATA
D2,of,O
D3,that,O
D3,blocked,B-FEATURE
D3,framework,I-TOOL
D3,monitor,B-TECHNIQUE
D3,observation,O
D4,Ping,I-TECHNIQUE
D2,will,O
D3,For,O
D3,easily,O
D4,command,I-FUNCTION
D3,casting,O
D2,connection,B-FEATURE
D2,attacker,I-ATTACKER
D2,discovery,I-TECHNIQUE
D3,the,O
,,
D2,the,O
D4,take,O
D5,helping,O
D3,not,O
D4,are,O
D5,If,O
D4,the,O
D3,new,O
D4,using,O
D2,600,O
D5,different,O
D2,uses,O
D5,of,O
D1,Snort,B-FUNCTION
D2,the,O
D3,only,O
D4,evasions,B-TECHNIQUE
D4,there,O
D5,a,O
D3,implication,O
D3,Prevention,I-TOOL
D4,service,I-APP
D4,and,O
D4,use,O
D3,eventually,O
D3,and,O
D5,log,B-DATA
D1,a,O
D2,scanned,B-FUNCTION
D2,often,O
D3,Metasploit,I-TOOL
D2,each,O
D5,file,I-DATA
D2,script,I-FUNCTION
D2,target,B-SYSTEM
D2,operating,B-SYSTEM
D2,operating,B-SYSTEM
D2,tool,B-TOOL
D2,rate,B-TECHNIQUE
D3,address,I-FEATURE
D5,is,O
D5,on,O
D5,syslog,B-SYSTEM
D5,caused,O
D2,manipulate,O
D2,includes,O
D4,set,B-FUNCTION
D4,some,O
D4,the,O
D4,possibly,O
D5,ssh,B-FUNCTION
D5,the,O
D3,does,O
D4,search,B-FUNCTION
D2,port,B-FEATURE
D3,the,O
D3,type,O
D2,is,O
D2,sweeps,I-TECHNIQUE
D4,many,O
D4,allowance,O
,,
D2,To,O
D3,outside,O
D1,language,B-FEATURE
D4,return,O
D3,firewall,B-TOOL
D3,source,B-SYSTEM
D5,When,O
D4,you,O
D2,that,O
D4,you,O
D4,hosts,B-SYSTEM
D5,where,O
D4,list,O
D3,RFC,B-FEATURE
D2,firewall,B-TOOL
D4,password,B-TECHNIQUE
D4,is,O
D3,extra,O
D2,but,O
D3,the,O
D2,most,O
D2,script,I-FUNCTION
D3,not,O
D2,output,B-FEATURE
D3,scan,B-TECHNIQUE
D3,will,O
D2,and,O
D3,analysis,O
D5,as,O
D5,the,O
D4,Metasploit,B-TOOL
D2,determine,O
D4,the,O
D2,the,O
D3,purposes,O
D3,port,B-FEATURE
D2,scan,I-TECHNIQUE
D2,by,O
D5,one,O
D1,against,O
D2,a,O
D5,using,O
D1,flow,I-FEATURE
D4,a,O
D2,if,O
D3,IDSs,B-TOOL
D5,and,O
D4,the,O
D4,of,O
D2,sends,O
D3,Linux,B-SYSTEM
D4,you,O
D3,result,O
D1,packet,B-TOOL
D2,chill,B-FEATURE
,,
D3,issues,O
D5,the,O
D2,no,O
D2,Nmap,B-FUNCTION
,,
D3,pen,B-SECURITYTEAM
D5,err,B-FEATURE
D3,as,O
D2,aka,O
D4,command,I-FUNCTION
D1,of,O
D3,in,O
D3,are,O
D2,information,B-DATA
D1,is,O
D4,target,I-SYSTEM
,,
D3,avoid,O
D3,departments,O
D4,can,O
D2,scan,I-TECHNIQUE
D3,cyber,B-SECURITYTEAM
D2,bit,I-DATA
D5,provide,O
D3,beginning,O
D2,Nmap,B-TOOL
D5,installed,O
D4,backdoor,B-ATTACK
D5,path,B-FEATURE
D5,can,O
D3,can,O
D2,Four,O
D3,around,O
D3,RST,B-DATA
D3,are,O
D4,will,O
D3,Most,O
D3,UDP,B-TECHNIQUE
,,
D4,ifconfig,B-FUNCTION
D3,resolution,I-FUNCTION
D2,to,O
D3,is,O
D2,can,O
D3,offers,O
D2,is,O
D4,port,B-TECHNIQUE
D3,the,O
D3,These,O
D3,various,O
D2,Nmap,B-TOOL
D5,lpr,B-SYSTEM
D4,user,B-APP
D5,messages,B-DATA
D1,packet,I-DATA
D5,panic,B-FEATURE
D2,with,O
D2,target,B-FEATURE
D3,section,O
,,
D5,Systems,B-SYSTEM
D2,using,O
D3,interfaces,B-APP
D1,sniff,B-TECHNIQUE
D3,TCP,B-FEATURE
D2,on,O
D4,NOP,B-FUNCTION
,,
D4,returns,O
D4,as,O
D1,Alert,I-TOOL
D3,glaring,O
D5,period,O
D2,script,I-FUNCTION
D3,scanning,B-TECHNIQUE
D4,NOP,B-FUNCTION
D3,UDP,B-FEATURE
D1,rules,I-FUNCTION
,,
D4,exploit,B-FUNCTION
D3,being,O
D5,all,O
D5,the,O
D4,machine,B-SYSTEM
D5,that,O
D2,skip,O
D1,Module,I-TOOL
D5,your,O
D3,The,O
D3,change,O
D5,resolution,I-TECHNIQUE
D5,this,O
D3,systems,I-TOOL
D3,allows,O
D2,to,O
D3,What,O
D3,scanning,I-TECHNIQUE
D3,RST,B-DATA
D4,the,O
D3,as,I-TECHNIQUE
D3,causes,O
,,
D3,rules,B-FUNCTION
D1,Ingress,B-FEATURE
D4,and,O
D3,come,O
D4,samba,B-SYSTEM
D2,port,I-DATA
D4,console,B-TOOL
D3,bytes,B-DATA
D2,the,O
D5,transmission,I-FEATURE
D3,of,O
D2,determine,O
D5,keywords,O
D2,customized,O
D5,you,O
D3,Some,O
D2,used,O
D2,a,O
D2,Nmap,B-TOOL
D2,is,O
D5,all,O
D5,the,O
D4,Scan,I-TECHNIQUE
D2,3rd,B-APP
D1,payload,I-FEATURE
,,
D4,multiple,O
D5,determine,O
D2,off,O
D3,this,O
D4,sessions,I-FEATURE
D2,DOS,B-ATTACK
D3,used,O
D2,ports,B-FEATURE
D3,target,B-SYSTEM
D3,paranoid,B-FEATURE
D3,a,O
D4,-,I-SYSTEM
D2,first,O
,,
D4,options,O
D2,There,O
D5,you,O
D3,This,O
D1,Snort,B-TOOL
D3,to,O
D5,distribution,I-SYSTEM
D3,files,I-DATA
D2,is,O
D4,can,O
D5,to,O
D3,can,O
D5,locally,O
D4,has,O
D4,command,B-FUNCTION
D4,by,O
D2,if,O
D2,makes,O
D5,priority,B-FEATURE
D2,they,O
D3,Nmap,B-TOOL
D5,to,O
D3,uses,O
D4,the,O
D2,ones,O
D2,a,O
,,
D1,Snort,B-FUNCTION
D3,ports,B-FEATURE
D3,are,O
D2,useful,O
D5,all,O
D2,discrete,O
D3,system,B-SYSTEM
D4,installed,B-FUNCTION
D4,will,O
D3,Attackers,B-ATTACKER
D1,conf,B-DATA
,,
D4,seen,O
D5,To,O
D2,live,B-SYSTEM
D4,the,O
D5,can,O
D5,client-server,B-SYSTEM
D2,services,B-FEATURE
D4,FTP,B-FEATURE
D2,device,I-SYSTEM
D3,key,O
D4,of,O
,,
D5,there,O
D3,this,O
D3,on,O
D5,if,O
D3,the,O
D2,flags,B-FEATURE
D2,one,O
D5,two,O
D4,Nmap,B-TOOL
D4,Rpcclient,B-TOOL
D2,particularly,O
,,
D5,machines,B-SYSTEM
D2,host,B-SYSTEM
D3,port,B-FEATURE
D1,user,B-FUNCTION
D3,mainly,O
D2,packet,I-DATA
D3,scan,I-TECHNIQUE
D3,IDS,B-TOOL
D2,to,O
D5,network,B-TECHNIQUE
D5,its,O
D3,at,O
D5,How,O
D5,the,O
D3,scripts,I-FUNCTION
D4,address,I-FEATURE
D4,operating,B-SYSTEM
,,
D4,the,O
D4,to,O
D5,store,O
D3,static,B-FEATURE
D2,hosts,I-SYSTEM
D2,of,O
D3,guys�,I-ATTACKER
D5,excessive,O
D2,a,O
D3,focus,O
D2,critical,O
D3,move,O
D4,the,O
D5,architecture,B-SYSTEM
D3,to,O
D3,are,O
D3,should,O
D2,map,B-FUNCTION
,,
D3,Engine,I-TOOL
D4,the,O
D2,received,B-FUNCTION
D3,infer,O
D3,match,O
,,
D2,data,B-DATA
D3,the,O
D3,have,O
D2,a,O
D4,Metasploit,B-TOOL
D4,the,O
D4,it,O
D2,RPC,I-VULNERABILITY
D5,allow,O
D3,and,O
D2,If,O
D3,blocked,B-FEATURE
D3,each,O
D5,to,O
D5,logs,B-DATA
D2,set,I-DATA
D4,Framework,I-TOOL
D2,your,O
D2,script,I-FUNCTION
D2,cause,O
D4,msfconsole,B-TOOL
D5,your,O
D5,a,O
D4,on,O
D4,Adobe,I-VULNERABILITY
D4,exploits,B-FUNCTION
,,
D5,common,O
D5,Set,O
D2,listening,B-FEATURE
D4,this,O
D3,those,O
D4,information,B-DATA
,,
D3,can,O
D4,be,O
D5,syslog,B-APP
D5,or,O
D4,show,B-FUNCTION
D3,target,B-SYSTEM
D3,side,O
D3,attackers,B-ATTACKER
D4,2,I-SYSTEM
D2,to,O
D2,IP,B-FEATURE
D4,Perl,B-TOOL
D4,Framework,I-TOOL
D3,rules,I-FUNCTION
D5,the,O
D5,and,O
D5,of,O
D1,has,O
D5,Syslog,B-TOOL
D4,to,O
D3,detect,B-TECHNIQUE
D3,and,O
D2,Scan,I-TECHNIQUE
D4,The,O
D2,the,O
D5,Assume,O
D2,is,O
D4,parameters,I-FEATURE
D5,System,B-DATA
D3,vulnerabilities,B-VULNERABILITY
D4,set,O
D2,zombie,B-SYSTEM
D4,change,O
D4,them,O
D4,that,O
D4,from,O
D2,SYN,B-TECHNIQUE
D3,ACK,B-TECHNIQUE
D5,not,O
D5,514,I-FEATURE
D5,anymore,O
D3,utterly,O
D2,from,O
D4,change,O
D3,pen,B-SECURITYTEAM
D2,target,B-FEATURE
D4,the,O
D3,major,O
D3,to,O
D3,decoys,B-TECHNIQUE
D3,flooding,B-ATTACK
D4,module,B-TOOL
D2,can,O
,,
D1,system,B-DATA
D3,given,O
D3,own,O
D4,The,O
D3,both,O
D2,perform,O
D2,for,O
D3,the,O
D3,don�t,O
D3,port-unreachable,B-FEATURE
D2,OS,B-TECHNIQUE
D5,may,O
D3,in,O
D2,hosts,B-SYSTEM
D3,is,O
D3,error,I-DATA
D5,messages,B-DATA
D3,the,O
D5,available,O
D4,open,B-FEATURE
D3,more,O
D2,program,O
D5,going,O
D4,and,O
D2,hacker,B-ATTACKER
D1,rules,B-FUNCTION
D5,kern,B-APP
,,
D2,protect,O
,,
D3,more,O
D4,return,O
D5,to,O
D1,pattern,B-FEATURE
D3,or,O
D5,can,O
D4,the,O
D2,on,O
D2,is,O
D3,testing,B-FUNCTION
D2,with,O
D3,they,O
D2,Nmap,B-TOOL
D2,Depending,O
D4,for,O
D2,the,O
D3,the,O
D3,performing,O
D3,GW,O
D5,to,O
D4,When,O
D4,the,O
D3,Nmap,B-TOOL
D3,these,O
,,
D3,advised,O
,,
D3,or,O
D4,an,O
D1,FTP,B-VULNERABILITY
D5,from,O
D2,being,O
D3,can,O
D2,returned,O
D1,detects,B-TECHNIQUE
D3,source,B-SYSTEM
D3,is,O
D4,As,O
D3,to,O
D3,be,O
D4,to,O
D4,the,O
D3,many,O
D3,the,O
D2,help,O
D5,they,O
D4,sled,I-FUNCTION
D5,log,B-FEATURE
D4,targets,B-SYSTEM
D4,back,O
D4,which,O
D3,explores,O
D2,in,O
D1,can,O
D3,only,O
D3,the,O
D4,some,O
D4,example,O
D4,suspect,O
D5,from,O
D3,triggered,B-FEATURE
,,
D3,the,O
D5,for,O
D2,port,I-FEATURE
D3,or,O
D3,minutes,O
D3,on,O
D4,look,O
D3,policies,O
D5,forwarding,B-FEATURE
D5,level,O
D4,Kali,B-SYSTEM
D4,We,O
D5,going,O
D2,has,O
D3,by,O
D4,the,O
D4,vulnerabilities,B-VULNERABILITY
D4,the,O
D5,longer,O
D4,option,O
D2,since,O
D4,vulnerable,B-VULNERABILITY
D4,system,B-SYSTEM
D2,on,O
,,
D4,you,O
D5,fields,B-FEATURE
D5,of,O
D5,For,O
D5,single,O
D5,can,O
D3,running,O
D3,prevention,I-TOOL
D2,your,O
D3,to,O
D3,network,B-DATA
D5,every,O
D3,and,O
D4,SSH,B-APP
D2,an,O
D4,enumeration,I-TECHNIQUE
D3,trying,O
D2,available,O
D1,also,O
D3,connections,I-FEATURE
D4,vulnerable,B-VULNERABILITY
D2,and,O
D3,service,B-APP
,,
D5,a,O
D3,evading,B-TECHNIQUE
D3,lab,O
D2,reasons,O
D2,a,O
D2,mapper,I-FEATURE
D5,they,O
D3,make,O
D5,accessing,O
D5,own,O
D5,and,O
D5,will,O
D2,default,B-FEATURE
D3,to,O
D4,users,B-USER
D5,Compared,O
D1,using,O
D2,Not,O
D3,negative,B-FEATURE
D2,-,O
D4,600,O
D2,from,O
D3,There,O
D2,via,O
D3,and,O
D4,the,O
D2,security,I-TECHNIQUE
,,
D2,kind,O
,,
D3,on,O
,,
D2,going,O
D4,Metasploit,B-TOOL
D2,using,O
D3,set,I-DATA
D3,against,O
D3,as,O
,,
D4,msfconsole,B-TOOL
D2,services,B-APP
D2,we,O
